country rate year 
Kenya 8.13 1967 
Kenya 8.12 1968 
Kenya 8.1 1969 
Kenya 8.08 1970 
Kenya 8.05 1971 
Kiribati 6.8 1961 
Kiribati 6.78 1962 
Kiribati 6.73 1963 
Kiribati 6.63 1964 
Kiribati 6.5 1965 
Kiribati 6.33 1966 
Kiribati 6.13 1967 
Kiribati 5.9 1968 
Kiribati 5.67 1969 
Kiribati 5.46 1970 
Kiribati 5.27 1971 
Kuwait 7.27 1961 
Kuwait 7.31 1962 
Kuwait 7.35 1963 
Kuwait 7.38 1964 
Kuwait 7.41 1965 
Kuwait 7.42 1966 
Kuwait 7.4 1967 
Kuwait 7.36 1968 
Kuwait 7.28 1969 
Kuwait 7.17 1970 
Kuwait 7.02 1971 
Kyrgyz Republic 5.52 1961 
Kyrgyz Republic 5.53 1962 
Kyrgyz Republic 5.52 1963 
Kyrgyz Republic 5.48 1964 
Kyrgyz Republic 5.42 1965 
Kyrgyz Republic 5.35 1966 
Kyrgyz Republic 5.3 1967 
Kyrgyz Republic 5.25 1968 
Kyrgyz Republic 5.21 1969 
Kyrgyz Republic 5.18 1970 
Kyrgyz Republic 5.15 1971 
Lao 5.96 1961 
Lao 5.97 1962 
Lao 5.97 1963 
Lao 5.97 1964 
Lao 5.97 1965 
Lao 5.97 1966 
Lao 5.97 1967 
Lao 5.97 1968 
Lao 5.97 1969 
Lao 5.97 1970 
Lao 5.98 1971 
Latvia 1.9 1961 
Latvia 1.88 1962 
Latvia 1.86 1963 
Latvia 1.85 1964 
Latvia 1.84 1965 
Latvia 1.84 1966 
Latvia 1.85 1967 
Latvia 1.87 1968 
Latvia 1.9 1969 
Latvia 1.93 1970 
Latvia 1.95 1971 
Lebanon 5.72 1961 
Lebanon 5.69 1962 
Lebanon 5.65 1963 
Lebanon 5.58 1964 
Lebanon 5.5 1965 
Lebanon 5.4 1966 
Lebanon 5.3 1967 
Lebanon 5.18 1968 
Lebanon 5.06 1969 
Lebanon 4.95 1970 
Lebanon 4.84 1971 
Lesotho 5.83 1961 
Lesotho 5.82 1962 
Lesotho 5.81 1963 
Lesotho 5.81 1964 
Lesotho 5.8 1965 
Lesotho 5.8 1966 
Lesotho 5.8 1967 
