country rate year 
Malta 2 1968 
Malta 2 1969 
Malta 2 1970 
Malta 2 1971 
Mauritania 2 1961 
Mauritania 2 1962 
Mauritania 2 1963 
Mauritania 2 1964 
Mauritania 2 1965 
Mauritania 2 1966 
Mauritania 2 1967 
Mauritania 2 1968 
Mauritania 2 1969 
Mauritania 2 1970 
Mauritania 2 1971 
Mauritius 2 1961 
Mauritius 2 1962 
Mauritius 2 1963 
Mauritius 2 1964 
Mauritius 2 1965 
Mauritius 2 1966 
Mauritius 2 1967 
Mauritius 2 1968 
Mauritius 2 1969 
Mauritius 2 1970 
Mauritius 2 1971 
Mexico 2 1961 
Mexico 2 1962 
Mexico 2 1963 
Mexico 2 1964 
Mexico 2 1965 
Mexico 2 1966 
Mexico 2 1967 
Mexico 2 1968 
Mexico 2 1969 
Mexico 2 1970 
Mexico 2 1971 
Micronesia Fed. Sts. 2 1961 
Micronesia Fed. Sts. 2 1962 
Micronesia Fed. Sts. 2 1963 
Micronesia Fed. Sts. 2 1964 
Micronesia Fed. Sts. 2 1965 
Micronesia Fed. Sts. 2 1966 
Micronesia Fed. Sts. 2 1967 
Micronesia Fed. Sts. 2 1968 
Micronesia Fed. Sts. 2 1969 
Micronesia Fed. Sts. 2 1970 
Micronesia Fed. Sts. 2 1971 
Moldova 2 1961 
Moldova 2 1962 
Moldova 2 1963 
Moldova 2 1964 
Moldova 2 1965 
Moldova 2 1966 
Moldova 2 1967 
Moldova 2 1968 
Moldova 2 1969 
Moldova 2 1970 
Moldova 2 1971 
Mongolia 2 1961 
