Dataenergy_production_total.csv
,
3
year,country,rate
1968,Philippines,
1969,Philippines,
1970,Philippines,
1971,Philippines,7530
1972,Philippines,7700
1973,Philippines,8070
1974,Philippines,8350
1975,Philippines,8600
1976,Philippines,8900
1977,Philippines,9100
1978,Philippines,9410
1979,Philippines,11300
1980,Philippines,12200
1981,Philippines,12900
1982,Philippines,14100
1983,Philippines,15400
1984,Philippines,16000
1985,Philippines,16500
1986,Philippines,16400
1987,Philippines,16000
1988,Philippines,16500
1989,Philippines,17000
1990,Philippines,17200
1991,Philippines,16800
1992,Philippines,16900
1993,Philippines,16500
1994,Philippines,16500
1995,Philippines,15800
1996,Philippines,15800
1997,Philippines,16100
1998,Philippines,17300
1999,Philippines,18700
2000,Philippines,19600
2001,Philippines,18400
2002,Philippines,20100
2003,Philippines,20600
2004,Philippines,20900
2005,Philippines,21400
2006,Philippines,21400
2007,Philippines,22200
2008,Philippines,23000
2009,Philippines,23500
1960,Poland,64800
1961,Poland,66800
1962,Poland,68700
1963,Poland,71300
1964,Poland,75700
1965,Poland,77300
1966,Poland,79900
1967,Poland,81500
1968,Poland,85900
1969,Poland,91600
1970,Poland,95800
1971,Poland,99300
1972,Poland,104000
1973,Poland,107000
1974,Poland,111000
1975,Poland,116000
1976,Poland,120000
1977,Poland,123000
1978,Poland,132000
1979,Poland,135000
1980,Poland,127000
1981,Poland,108000
1982,Poland,125000
1983,Poland,127000
1984,Poland,128000
1985,Poland,129000
1986,Poland,131000
1987,Poland,132000
1988,Poland,132000
1989,Poland,122000
1990,Poland,104000
1991,Poland,99800
1992,Poland,97700
1993,Poland,97400
1994,Poland,97400
1995,Poland,99400
1996,Poland,99000
1997,Poland,100000
1998,Poland,87600
1999,Poland,83900
2000,Poland,79600
2001,Poland,80300
2002,Poland,80200
2003,Poland,79900
2004,Poland,78800
2005,Poland,78700
2006,Poland,77600
2007,Poland,72500
2008,Poland,71400
2009,Poland,67500
2010,Poland,67800
1960,Portugal,1270
1961,Portugal,1320
1962,Portugal,1280
1963,Portugal,1320
1964,Portugal,1350
1965,Portugal,1370
1966,Portugal,1450
1967,Portugal,1470
1968,Portugal,1420
1969,Portugal,1540
1970,Portugal,1410
1971,Portugal,1380
1972,Portugal,1410
1973,Portugal,1400
1974,Portugal,1440
1975,Portugal,1330
